Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To edit,1 time a month,Geographic database,1 time a month,1 time a month,Yes,1 time a week,Waze;OSMAnd,Shapefile;GeoJSON / JSON / XML;.OSM / .PBF,GeoFabrik;Overpass Turbo,4,3,4,5,4,4,4,4,4,4,4,4,3,3,4,Precise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Czech Republic,I have little or no experience with GIS,Basic,Yes,5 to 10 years,1 time a week,I don't remember,I use it for navigation/GPS,Hobbyist/community,To upload GPS traces;To see the rendered data;To edit,2 times per week,Collaborative map,1 time a month,1 time a month,No,,Waze,,,4,2,3,4,4,3,2,1,4,3,2,1,2,3,3,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Czech Republic,Working with GIS,Native,Yes,5 to 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Collaborative map,I can't remember or I don't use it,1 time a week,Yes,1 time a month,Organic Maps;Mapy.cz,GeoJSON / JSON / XML,Overpass Turbo,2,4,2,5,4,4,4,4,4,1,3,3,3,3,2,Precise,Neutral - Neither confusing nor clear,Confusing,Very confusing,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,High School,Brazil,I am a GIS student,Advanced,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To check the history of edits and comments,1 time a month,Geographic database,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Google Maps,.OSM / .PBF,APIs and/or Plugins,5,5,5,5,3,5,5,5,5,5,3,3,3,5,3,Precise,Clear,Very clear,Very Clear,Very Simple,Very Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
Português (Brasil)‎,45-54 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,More than once a day,Collaborative map,I can't remember or I don't use it,1 time a month,Yes,1 time a month,OSMAnd;Google Maps,".OSM / .PBF;O ideal seria geopkg, mas que eu saiba nenhuma ferramenta de exportação usa.",Directly in OSM.org;APIs and/or Plugins,4,2,4,5,3,4,4,4,4,3,4,3,3,3,3,Imprecise,Confusing,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I am a GIS student,Basic,No,Less than 1 year,More than once a day,Other,I use it academically (school or college),Humanitarian,To edit,More than once a day,Collaborative map,1 time a month,1 time a month,No,,Waze;Google Maps,,,5,4,5,3,4,3,2,4,5,5,4,4,3,4,5,Precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
Português (Brasil)‎,25-34 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Advanced,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Wikipedia of maps,I can't remember or I don't use it,1 time a month,Yes,1 time a week,OSMAnd;Organic Maps;Google Maps,GeoJSON / JSON / XML;.OSM / .PBF,APIs and/or Plugins,3,1,3,5,4,4,2,4,3,2,4,3,3,4,4,Imprecise,Very confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Simple,Complicated,Simple,Strongly agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,18-24 years old,High School,Slovakia,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Other,I used it in freetime while hiking,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time per day,Wikipedia of maps,I can't remember or I don't use it,1 time a month,No,,Mapy.cz; freemap.sk,,,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5,Very precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Neither agree nor disagree
Português (Brasil)‎,35-44 years old,High School,Brazil,I have little or no experience with GIS,Basic,Yes,5 to 10 years,1 time per day,Web Search,I use it for work;I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Collaborative map,1 time a month,1 time a month,Yes,2 times per week,OSMAnd,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;Directly in OSM.org,5,5,5,3,3,4,3,4,3,3,3,3,2,2,2,Imprecise,Neutral - Neither confusing nor clear,Confusing,Clear,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
Português (Brasil)‎,55-64 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Advanced,No,5 to 10 years,1 time a month ,Work,Apoio o projeto OpenStreetMap institucionalmente desde 2014,Corporate (work),para ter noticias,1 time per day,Wikipedia of maps,1 time a month,1 time a month,No,,Waze;Maps.me;OSMAnd;Google Maps,,,5,3,5,5,5,5,5,5,5,5,5,5,3,3,5,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Very Simple,Simple,Simple,Simple,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Português (Brasil)‎,45-54 years old,Doctorate/PhD,Brazil,Working with GIS,Intermediary,Yes,More than 10 years,2 times per week,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit,1 time a week,Geographic database,1 time a month,1 time a month,No,,Organic Maps,,,,,,,,,,,,,,,,,,Imprecise,Confusing,,,,,,,,,
English (United Kingdom)‎,25-34 years old,Master's Degree,Italy,Working with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,1 time per day,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Organic Maps;Google Maps,GeoJSON / JSON / XML,Overpass Turbo,4,2,3,3,3,4,4,3,4,4,3,3,4,4,3,Imprecise,Confusing,Clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Português (Brasil)‎,45-54 years old,High School,Brazil,I have no experience with GIS or work,Basic,No,5 to 10 years,1 time a month ,Web Search,I use it for navigation/GPS,Humanitarian;Hobbyist/community;YouthMappers,To check the history of edits and comments;To edit;Read diary entries,More than once a day,Wikipedia of maps,1 time per day,1 time a month,No,,Google Maps;OSMAnd;Magic Earth,,,5,4,5,5,5,5,5,5,5,5,3,3,4,4,5,Very precise,Very clear,Very clear,Very Clear,Very Simple,Very Simple,Very Simple,Very Simple,Strongly disagree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,High School,Canada,I have no experience with GIS or work,Native,Yes,1 to 5 years,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Wikipedia of maps,1 time per day,1 time a month,No,,Google Maps;Organic Maps,,,5,3,2,5,4,5,5,5,5,4,4,5,4,4,4,Imprecise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Mozambique,Working with GIS,Basic,No,5 to 10 years,1 time a month ,Web Search,I use it academically (school or college),Humanitarian;YouthMappers;Hobbyist/community,To edit;Add and edit Notes;To check the history of edits and comments,I can't remember or I don't use it,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps,Shapefile;GeoJSON / JSON / XML;.OSM / .PBF,GeoFabrik;HOT Export Tool;APIs and/or Plugins,3,3,3,4,3,3,3,2,3,3,3,3,3,1,2,Neutral - Neither imprecise nor precise,Confusing,Clear,Confusing,Simple,Complicated,Simple,Simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,18-24 years old,Master's Degree,Portugal,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments,1 time a month,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time per day,Organic Maps;Google Maps,.OSM / .PBF,Overpass Turbo,5,3,4,5,4,3,2,3,2,1,2,2,1,5,3,Neutral - Neither imprecise nor precise,Very confusing,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither complicated nor simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Português (Brasil)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,I have little or no experience with GIS,Intermediary,Yes,More than 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time a week,Collaborative map,1 time a month,I can't remember or I don't use it,Yes,1 time a month,Organic Maps;Maps.me;Google Maps;Waze,.OSM / .PBF,APIs and/or Plugins,5,5,5,5,3,4,3,4,3,4,3,3,3,4,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Confusing,Simple,Complicated,Complicated,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,18-24 years old,Elementary School,Czech Republic,I have little or no experience with GIS,Basic,No,1 to 5 years,1 time per day,Application that uses OSM data,"I use it academically (school or college);I use it for navigation/GPS;see tags in sheets, download data",Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Organic Maps,GeoJSON / JSON / XML;.OSM / .PBF,Directly in OSM.org;Overpass Turbo;GeoFabrik,5,3,5,5,4,4,4,4,5,2,5,4,5,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Very clear,Very Clear,Very Simple,Simple,Simple,Complicated,More or less agree,More or less agree,Strongly agree
Deutsch,55-64 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,More than 10 years,1 time per day,"News (Jornal, Blog etc.)",I use it for navigation/GPS;private learning,Hobbyist/community;Dev;Humanitarian,To check the history of edits and comments;To see the rendered data,1 time per day,Collaborative map,I can't remember or I don't use it,1 time a month,No,,Organic Maps;StreetComplete;OSMAnd;Google Maps,,,3,2,3,5,4,2,,,,3,,,,5,4,Imprecise,Confusing,Neutral - Neither confusing nor clear,Clear,Neutral - Neither complicated nor simple,Simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,
English (United Kingdom)‎,35-44 years old,Master's Degree,Portugal,I have little or no experience with GIS,Advanced,Yes,More than 10 years,1 time a week,I don't remember,I visualize areas in 3D and identify areas with insufficient mapping detail,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,4,2,5,4,4,5,,,4,,,3,3,,Precise,Clear,Very clear,Very confusing,Simple,Simple,,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Switzerland,I have little or no experience with GIS,Native,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for work;I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;Add and edit Notes,2 times per week,Collaborative map,1 time a month,2 times per week,Yes,1 time per day,Organic Maps;OSMAnd;Ride with GPS,CSV;GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo;GeoFabrik,4,1,4,4,2,2,3,2,4,4,3,1,1,3,,Very imprecise,Neutral - Neither confusing nor clear,Clear,Confusing,Simple,Simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,
English (United Kingdom)‎,45-54 years old,Undergraduate or Bachelor's degree,Portugal,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,More than once a day,Wikipedia of maps,I can't remember or I don't use it,2 times per week,No,,Locus Map;Magic Earth,,,5,4,4,5,4,4,4,4,4,4,4,4,4,5,,Precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Complicated,Simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,Strongly agree,Neither agree nor disagree
Português (Brasil)‎,25-34 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Intermediary,Yes,More than 10 years,1 time per day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time per day,Collaborative map,I can't remember or I don't use it,1 time a month,No,,OSMAnd,,,5,5,5,5,1,5,3,1,4,5,1,1,1,5,2,Very imprecise,Neutral - Neither confusing nor clear,,,Neutral - Neither complicated nor simple,Very Simple,Very Simple,Simple,More or less agree,Strongly agree,Strongly agree
Português (Brasil)‎,25-34 years old,Undergraduate or Bachelor's degree,Brazil,Working with GIS,Basic,Yes,5 to 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit;Uso dados do OSM para produzir mapas,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,OSMAnd;Google Maps;Organic Maps,KML,Overpass Turbo;Directly in OSM.org,5,3,2,4,3,4,1,1,3,3,2,2,1,3,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Germany,Working with GIS,Native,Yes,More than 10 years,2 times per week,Event or speech,I use it for work;I use it for navigation/GPS,Dev,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Wikipedia of maps,1 time a month,I can't remember or I don't use it,Yes,2 times per week,OSMAnd;Maps.me;Organic Maps,.OSM / .PBF,GeoFabrik;APIs and/or Plugins,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,Very imprecise,Very clear,Clear,Clear,Very Simple,Very Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly disagree
Português (Brasil)‎,45-54 years old,Undergraduate or Bachelor's degree,Brazil,I have little or no experience with GIS,Basic,Yes,More than 10 years,2 times per week,Event or speech,I use it for work;I use it for navigation/GPS;Produzir alertas para gps garmin,Government;Hobbyist/community,To edit;Read diary entries;To see the rendered data,1 time a week,Geographic database,I can't remember or I don't use it,1 time a month,Yes,2 times per week,OSMAnd;Organic Maps;Waze;Garmin com mapas e alertas usando dados do OSM,GeoJSON / JSON / XML;JPG / PNG,Overpass Turbo,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Serbia,Working with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Corporate (work);Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,2 times per week,Geographic database,2 times per week,1 time a week,No,,Magic Earth;OSMAnd;Organic Maps,,,2,1,2,4,2,2,1,2,3,1,3,3,1,3,3,Very imprecise,Very confusing,Neutral - Neither confusing nor clear,Very confusing,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Strongly disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Serbia,I have no experience with GIS or work,Advanced,Yes,Less than 1 year,1 time per day,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Wikipedia of maps,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Organic Maps;Google Maps,.OSM / .PBF,Overpass Turbo;GeoFabrik;Directly in OSM.org,4,4,4,5,5,4,4,,,5,,,5,3,,Precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Very Simple,Very Simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,High School,Serbia,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Through a friend or family member,I use it for work;I use it for navigation/GPS,Corporate (work);Hobbyist/community,To edit;Add and edit Notes;To check the history of edits and comments,1 time a week,Geographic database,1 time a week,1 time a month,No,,OSMAnd;Magic Earth;Google Maps,,,3,3,4,3,3,4,4,3,3,1,3,3,3,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Serbia,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,I don't remember,I use it for navigation/GPS,Hobbyist/community;Corporate (work),To edit;Add and edit Notes,2 times per week,Wikipedia of maps,I can't remember or I don't use it,2 times per week,Yes,1 time a month,Google Maps;Apple Maps,GeoJSON / JSON / XML,Overpass Turbo;GeoFabrik,4,1,4,2,3,1,1,3,2,3,1,1,4,3,5,Imprecise,Very confusing,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly agree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Basic,Yes,More than 10 years,More than once a day,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a month,Geographic database,1 time a month,More than once a day,No,,OSMAnd;Organic Maps;Google Maps,,,4,2,4,5,4,5,5,5,5,3,5,5,5,5,5,Imprecise,Clear,Clear,Neutral - Neither confusing nor clear,Very Simple,Very Simple,Simple,Simple,Strongly agree,Strongly agree,More or less agree
